participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,1186.714,595.714,3.07270812988281,2.89549255371094,1,1,1619038502253797,132635118175191050,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,99,161
5,Peyton,584.366,641.073,3.04092407226563,2.98966979980469,1,1,1619038502587078,132635118178521542,Comment Body-discussion_r57498589-0ms,https://github.com/opensim-org/opensim-core/pull/894,666,162
5,Peyton,738.246,409.536,3.09147644042969,3.05633544921875,1,1,1619038503303655,132635118185690656,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,1133,163
5,Peyton,835.800,395.250,3.06895446777344,2.96607971191406,1,1,1619038504470164,132635118197355329,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,316,164
5,Peyton,934.421,388.895,3.09768676757813,2.99183654785156,1,1,1619038504820121,132635118200856040,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,299,165
5,Peyton,746.345,426.564,3.07354736328125,3.00511169433594,1,1,1619038505170073,132635118204354675,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,899,166
5,Peyton,691.400,514.050,3.12644958496094,3.11734008789063,1,1,1619038506103284,132635118213687269,,,316,167
5,Peyton,754.551,467.571,3.31015014648438,3.13874816894531,1,1,1619038506453226,132635118217188401,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,799,168
5,Peyton,811.000,508.889,3.12554931640625,3.07872009277344,1,1,1619038507286471,132635118225519072,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,133,169
5,Peyton,872.444,485.167,3.13888549804688,3.13746643066406,1,1,1619038507453109,132635118227186502,Comment Body-discussion_r57496377-0ms,https://github.com/opensim-org/opensim-core/pull/894,283,170
5,Peyton,821.111,411.311,3.22758483886719,3.07284545898438,1,1,1619038507986374,132635118232519675,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,733,171
5,Peyton,762.714,395.857,3.14143371582031,3.09124755859375,1,1,1619038508752943,132635118240183968,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,216,172
5,Peyton,684.125,409.750,3.187255859375,3.0931396484375,1,1,1619038509002910,132635118242684204,AddedLOC-0-0ms,https://github.com/opensim-org/opensim-core/pull/894,116,173
